iter	Passed	Remaining
0	155	155303
1	157	78452
2	158	52728
3	159	39807
4	161	32060
5	162	26892
6	164	23288
7	165	20514
8	166	18351
9	167	16619
10	169	15207
11	170	14028
12	171	13052
13	173	12232
14	175	11491
15	177	10900
16	178	10336
17	180	9820
18	181	9360
19	182	8960
20	184	8584
21	185	8239
22	186	7925
23	187	7636
24	189	7377
25	191	7168
26	192	6939
27	193	6725
28	194	6529
29	196	6344
30	197	6172
31	198	6009
32	199	5858
33	201	5714
34	202	5586
35	204	5486
36	206	5367
37	207	5251
38	208	5142
39	209	5038
40	211	4940
41	212	4845
42	213	4755
43	214	4671
44	216	4588
45	217	4519
46	219	4450
47	220	4378
48	221	4307
49	223	4244
50	224	4180
51	225	4117
52	227	4058
53	228	4004
54	230	3962
55	232	3911
56	233	3860
57	234	3812
58	236	3764
59	237	3716
60	238	3671
61	239	3628
62	241	3586
63	242	3544
64	244	3515
65	246	3489
66	248	3456
67	249	3422
68	251	3388
69	252	3353
70	253	3319
71	255	3286
72	258	3283
73	260	3255
74	262	3237
75	263	3208
76	265	3180
77	266	3150
78	267	3122
79	269	3095
80	275	3123
81	276	3098
82	277	3068
83	279	3049
84	281	3024
85	282	3004
86	284	2982
87	285	2958
88	288	2948
89	289	2925
90	290	2902
91	291	2879
92	293	2857
93	294	2837
94	295	2816
95	296	2795
96	298	2774
97	299	2755
98	300	2734
99	302	2725
100	304	2706
101	305	2687
102	306	2668
103	307	2650
104	308	2633
105	310	2616
106	311	2601
107	313	2586
108	314	2570
109	317	2565
110	318	2550
111	319	2536
112	321	2523
113	322	2507
114	323	2492
115	325	2477
116	326	2460
117	327	2445
118	328	2431
119	329	2416
120	331	2410
121	332	2395
122	334	2382
123	335	2368
124	336	2355
125	337	2342
126	338	2328
127	339	2315
128	341	2302
129	342	2290
130	343	2278
131	344	2266
132	346	2256
133	347	2245
134	348	2233
135	349	2222
136	351	2211
137	352	2199
138	353	2188
139	354	2177
140	355	2167
141	356	2154
142	357	2144
143	361	2146
144	362	2137
145	363	2127
146	364	2117
147	366	2107
148	367	2098
149	368	2088
150	369	2078
151	370	2069
152	372	2059
153	375	2064
154	377	2058
155	379	2053
156	382	2055
157	385	2052
158	392	2076
159	394	2070
160	395	2060
161	396	2052
162	398	2044
163	399	2036
164	400	2028
165	402	2019
166	403	2012
167	405	2008
168	406	2001
169	408	1993
170	409	1986
171	411	1979
172	412	1971
173	413	1963
174	416	1963
175	417	1956
176	420	1954
177	421	1947
178	422	1939
179	424	1931
180	425	1924
181	426	1916
182	427	1909
183	428	1901
184	429	1894
185	431	1886
186	432	1879
187	434	1878
188	436	1871
189	437	1864
190	438	1858
191	440	1851
192	441	1844
193	442	1837
194	443	1831
195	444	1824
196	446	1818
197	447	1811
198	449	1810
199	451	1804
200	452	1797
201	453	1791
202	454	1785
203	455	1779
204	457	1772
205	458	1766
206	459	1760
207	460	1754
208	461	1748
209	464	1747
210	465	1742
211	467	1736
212	468	1731
213	470	1726
214	471	1720
215	472	1715
216	473	1710
217	475	1704
218	476	1698
219	478	1697
220	480	1692
221	481	1686
222	482	1681
223	483	1675
224	484	1669
225	486	1664
226	487	1660
227	489	1655
228	490	1652
229	494	1654
230	495	1649
231	496	1644
232	498	1639
233	499	1635
234	500	1630
235	502	1628
236	504	1623
237	505	1618
238	506	1613
239	508	1611
240	510	1606
241	511	1601
242	512	1596
243	514	1592
244	515	1588
245	516	1583
246	517	1578
247	519	1575
248	522	1577
249	524	1573
250	525	1569
251	527	1564
252	528	1560
253	529	1555
254	530	1550
255	532	1546
256	533	1541
257	534	1536
258	535	1532
259	538	1532
260	539	1527
261	540	1523
262	542	1518
263	543	1514
264	544	1509
265	545	1505
266	546	1501
267	547	1496
268	549	1491
269	550	1487
270	556	1495
271	557	1492
272	558	1488
273	560	1484
274	561	1480
275	562	1476
276	564	1473
277	568	1475
278	570	1473
279	572	1470
280	574	1470
281	576	1466
282	578	1464
283	579	1462
284	582	1462
285	584	1459
286	585	1455
287	587	1451
288	588	1447
289	589	1443
290	590	1439
291	591	1435
292	593	1431
293	594	1427
294	595	1423
295	598	1424
296	600	1420
297	601	1417
298	603	1414
299	604	1410
300	605	1406
301	606	1402
302	608	1398
303	609	1395
304	610	1391
305	612	1390
306	614	1386
307	615	1382
308	616	1378
309	617	1374
310	618	1371
311	620	1367
312	621	1363
313	622	1360
314	623	1356
315	624	1352
316	627	1351
317	628	1348
318	629	1344
319	631	1340
320	632	1337
321	633	1333
322	634	1330
323	635	1326
324	636	1322
325	638	1319
326	639	1315
327	640	1312
328	641	1309
329	643	1305
330	644	1302
331	645	1298
332	646	1295
333	648	1292
334	649	1288
335	650	1285
336	651	1282
337	653	1279
338	655	1278
339	657	1276
340	658	1272
341	659	1269
342	661	1266
343	662	1263
344	663	1260
345	665	1257
346	666	1253
347	667	1250
348	668	1247
349	670	1245
350	671	1242
351	673	1239
352	674	1235
353	675	1232
354	676	1229
355	677	1226
356	678	1222
357	680	1219
358	681	1216
359	682	1213
360	685	1212
361	686	1209
362	687	1206
363	688	1203
364	690	1200
365	691	1197
366	692	1194
367	693	1191
368	695	1188
369	696	1185
370	700	1186
371	701	1184
372	703	1182
373	704	1179
374	706	1177
375	707	1174
376	709	1172
377	712	1171
378	715	1171
379	716	1169
380	717	1166
381	719	1163
382	720	1160
383	721	1157
384	723	1155
385	724	1153
386	726	1150
387	727	1147
388	729	1146
389	731	1143
390	732	1140
391	733	1137
392	734	1134
393	736	1132
394	737	1129
395	738	1126
396	739	1123
397	741	1120
398	743	1120
399	746	1119
400	748	1118
401	751	1117
402	752	1115
403	754	1112
404	755	1109
405	756	1106
406	759	1105
407	760	1103
408	761	1100
409	762	1097
410	764	1095
411	765	1092
412	766	1089
413	767	1086
414	768	1083
415	770	1081
416	771	1078
417	773	1077
418	775	1074
419	776	1072
420	777	1069
421	778	1066
422	779	1063
423	781	1061
424	782	1058
425	783	1055
426	784	1052
427	785	1050
428	788	1049
429	789	1046
430	791	1044
431	792	1041
432	793	1039
433	794	1036
434	795	1033
435	796	1030
436	798	1028
437	799	1025
438	800	1023
439	803	1022
440	804	1019
441	805	1017
442	807	1014
443	808	1012
444	809	1009
445	810	1007
446	811	1004
447	813	1001
448	814	999
449	815	996
450	817	995
451	819	993
452	820	990
453	821	987
454	822	985
455	823	982
456	825	980
457	826	977
458	827	975
459	828	972
460	829	970
461	832	969
462	833	967
463	835	964
464	836	962
465	837	959
466	838	957
467	839	954
468	841	952
469	842	949
470	843	947
471	844	944
472	846	943
473	848	941
474	849	938
475	850	936
476	851	934
477	853	931
478	854	929
479	855	927
480	857	924
481	858	922
482	859	919
483	862	919
484	863	916
485	864	914
486	865	912
487	867	909
488	868	907
489	869	905
490	870	902
491	871	900
492	873	897
493	874	895
494	876	894
495	877	891
496	878	889
497	879	887
498	881	884
499	882	882
500	883	879
501	884	877
502	885	875
503	887	873
504	889	872
505	891	869
506	892	867
507	893	865
508	894	863
509	896	860
510	897	858
511	898	856
512	899	854
513	901	851
514	902	849
515	906	849
516	907	847
517	908	845
518	910	843
519	911	841
520	913	839
521	914	837
522	915	835
523	917	833
524	920	832
525	922	830
526	923	828
527	924	826
528	925	824
529	926	821
530	928	819
531	929	817
532	930	815
533	931	813
534	934	812
535	935	810
536	936	807
537	938	805
538	939	803
539	941	801
540	942	799
541	943	797
542	944	795
543	946	793
544	948	792
545	950	790
546	951	787
547	952	785
548	953	783
549	955	781
550	956	779
551	958	778
552	960	776
553	965	776
554	967	775
555	968	773
556	970	772
557	972	770
558	974	768
559	976	767
560	979	766
561	981	764
562	983	763
563	984	761
564	986	759
565	987	757
566	988	755
567	990	753
568	991	750
569	993	749
570	995	747
571	996	745
572	997	743
573	998	741
574	1000	739
575	1001	737
576	1003	735
577	1005	733
578	1008	733
579	1010	731
580	1012	729
581	1013	727
582	1014	725
583	1016	724
584	1018	722
585	1020	720
586	1024	720
587	1026	719
588	1029	718
589	1031	716
590	1032	714
591	1034	712
592	1035	711
593	1037	709
594	1039	707
595	1041	705
596	1042	703
597	1044	702
598	1045	700
599	1047	698
600	1049	696
601	1051	695
602	1054	694
603	1055	692
604	1057	690
605	1058	688
606	1059	685
607	1060	683
608	1061	681
609	1063	679
610	1064	677
